Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-11165.ORDRH04.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	75.81	77830.0	533.0	1.29	1.9	3.47	48.58	0.01	0.44	49.0	63.0	0.0	76353.0	2358841.0	21344.0	0	0.0	3111649.0	26785	0.01	0.86	19.17	596605.0	881.0	108074	0.69
SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	81.84	38088.0	310.0	1.37	1.44	2.27	48.77	0.0	0.29	49.0	52.0	0.0	37178.0	1416648.0	16787.0	0	0.0	1731033.0	22672	0.0	1.31	13.61	235639.0	548.0	39287	0.97
SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	81.97	38568.0	316.0	1.29	1.43	2.19	48.78	0.0	0.28	49.0	51.0	0.0	37581.0	1443944.0	17220.0	0	0.0	1761569.0	22894	0.0	1.3	13.56	238943.0	620.0	38568	0.98
SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	82.05	41489.0	359.0	1.32	1.44	2.2	48.78	0.0	0.29	49.0	49.0	0.0	40484.0	1572823.0	18360.0	0	0.0	1916825.0	25919	0.0	1.35	13.43	257484.0	597.0	42239	0.96
SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	82.16	43053.0	394.0	1.34	1.47	2.16	48.79	0.0	0.29	49.0	61.0	0.0	42019.0	1619890.0	18907.0	0	0.0	1971577.0	26218	0.0	1.33	13.39	263983.0	579.0	42579	0.96
SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	82.16	41740.0	371.0	1.33	1.42	2.17	48.78	0.0	0.27	49.0	48.0	0.0	40733.0	1562484.0	18221.0	0	0.0	1901821.0	25873	0.0	1.36	13.35	253961.0	588.0	41282	0.96
SLX-11165.ORDRH06.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	82.25	33129.0	226.0	1.31	1.36	2.34	48.71	0.0	0.3	49.0	21.0	0.0	32188.0	1683480.0	11136.0	0	0.0	2046769.0	22979	0.0	1.12	13.74	281165.0	694.0	48009	0.54
SLX-11165.ORDRH06.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	82.3	34296.0	254.0	1.34	1.41	2.34	48.72	0.0	0.29	49.0	24.0	0.0	33364.0	1728228.0	11483.0	0	0.0	2099845.0	23123	0.0	1.1	13.71	287821.0	654.0	49190	0.55
SLX-11165.ORDRH06.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	82.46	36119.0	251.0	1.33	1.4	2.32	48.73	0.0	0.3	49.0	30.0	0.0	35133.0	1836761.0	12161.0	0	0.0	2227581.0	25581	0.0	1.15	13.53	301471.0	705.0	51607	0.55
SLX-11165.ORDRH06.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	82.53	37281.0	250.0	1.32	1.39	2.28	48.73	0.0	0.29	49.0	38.0	0.0	36319.0	1902036.0	12547.0	0	0.0	2304667.0	25583	0.0	1.11	13.54	311953.0	674.0	52548	0.54
SLX-11165.ORDRH06.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	82.39	36673.0	265.0	1.31	1.4	2.32	48.72	0.0	0.28	49.0	34.0	0.0	35677.0	1844694.0	12410.0	0	0.0	2239056.0	26017	0.0	1.16	13.57	303900.0	697.0	52035	0.55
SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	80.88	85273.0	582.0	1.32	1.64	2.78	48.71	0.0	0.38	49.0	118.0	0.0	83793.0	2469653.0	18457.0	0	0.0	3053572.0	31738	0.01	1.04	14.7	448887.0	780.0	84837	0.6
SLX-11165.ORDRH07.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	81.05	87064.0	632.0	1.31	1.57	2.72	48.73	0.0	0.37	49.0	113.0	0.0	85560.0	2514916.0	18506.0	0	0.0	3102857.0	30996	0.0	1.0	14.64	454129.0	759.0	84310	0.6
