Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.ORDRG05.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3194162008	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	pass	1521482.0	pass	fail	warn	46.0	57.4305844875	SLX-11165.ORDRG05.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG05.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1626062.0	pass	pass	warn	45.0	57.3396044919	SLX-11165.ORDRG05.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG05.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3215568962	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1625619.0	pass	fail	warn	45.0	57.5009841934	SLX-11165.ORDRG05.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG05.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1676194.0	pass	pass	warn	45.0	57.3464822261	SLX-11165.ORDRG05.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG05.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3257525531	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1675729.0	pass	fail	warn	45.0	57.509266018	SLX-11165.ORDRG05.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG05.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1629478.0	pass	pass	warn	45.0	57.1280479333	SLX-11165.ORDRG05.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG05.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3245980576	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1629027.0	pass	fail	warn	45.0	57.2932381073	SLX-11165.ORDRG05.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG06.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3293997.0	pass	pass	warn	47.0	57.8367203117	SLX-11165.ORDRG06.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRG06.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3436546582	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3293085.0	pass	fail	warn	48.0	58.0065166904	SLX-11165.ORDRG06.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG06.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3345732.0	pass	pass	warn	48.0	57.6260325647	SLX-11165.ORDRG06.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG06.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3508695458	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3344907.0	pass	fail	warn	48.0	57.8121785681	SLX-11165.ORDRG06.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG06.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3576682.0	pass	pass	warn	47.0	57.9818462611	SLX-11165.ORDRG06.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG06.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3527142309	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3575617.0	pass	fail	warn	47.0	58.1341968526	SLX-11165.ORDRG06.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG06.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3635004.0	pass	pass	warn	47.0	58.0202343865	SLX-11165.ORDRG06.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG06.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3610198656	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3633969.0	pass	fail	warn	47.0	58.1920017334	SLX-11165.ORDRG06.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
