Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.ORDRH09.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	fail	49.4065719844	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3233270.0	pass	fail	warn	46.0	21.9994611049	SLX-11165.ORDRH09.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH09.HFN3MBBXX.s_6.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	3330474.0	pass	pass	warn	46.0	21.8955915319	SLX-11165.ORDRH09.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH09.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	fail	49.4153971201	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3329207.0	pass	fail	warn	47.0	21.9516888651	SLX-11165.ORDRH09.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH09.HFN3MBBXX.s_7.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	3239688.0	pass	pass	warn	46.0	22.0626409149	SLX-11165.ORDRH09.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH09.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	fail	49.4030209775	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3238422.0	pass	fail	warn	46.0	22.0618591116	SLX-11165.ORDRH09.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH10.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	4457535.0	pass	pass	warn	47.0	57.5099331142	SLX-11165.ORDRH10.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH10.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3861295689	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	4456271.0	pass	fail	warn	47.0	57.6928791905	SLX-11165.ORDRH10.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH10.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	4524652.0	pass	pass	warn	47.0	57.2148499509	SLX-11165.ORDRH10.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH10.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3975264139	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	4523473.0	pass	fail	warn	47.0	57.4348563203	SLX-11165.ORDRH10.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH10.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	4919453.0	pass	pass	warn	46.0	56.7440866068	SLX-11165.ORDRH10.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH10.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3929222379	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	4918080.0	pass	fail	warn	47.0	56.9179983235	SLX-11165.ORDRH10.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH10.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	5071601.0	pass	pass	warn	46.0	56.6797790435	SLX-11165.ORDRH10.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH10.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3998464017	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	5070367.0	pass	fail	warn	47.0	56.8631110875	SLX-11165.ORDRH10.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH10.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	4919410.0	pass	pass	warn	46.0	56.7008996979	SLX-11165.ORDRH10.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH10.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3954117324	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	4918109.0	pass	fail	warn	47.0	56.8609988759	SLX-11165.ORDRH10.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH11.HFMVTBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	3996898.0	pass	pass	warn	44.0	45.1043621095	SLX-11165.ORDRH11.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH11.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.3999543017	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3995774.0	pass	fail	warn	44.0	45.2859326708	SLX-11165.ORDRH11.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH11.HFMVTBBXX.s_2.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	4068317.0	pass	pass	warn	44.0	44.9210295163	SLX-11165.ORDRH11.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH11.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	fail	49.4109345266	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	4067300.0	pass	fail	warn	45.0	45.1486780665	SLX-11165.ORDRH11.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH11.HFN3MBBXX.s_5.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	4378565.0	pass	pass	warn	44.0	44.7995584651	SLX-11165.ORDRH11.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH11.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	fail	49.4030080966	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	warn	4377386.0	pass	fail	warn	44.0	44.9752644309	SLX-11165.ORDRH11.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH11.HFN3MBBXX.s_6.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	4509843.0	pass	pass	warn	44.0	44.7346693456	SLX-11165.ORDRH11.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH11.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	fail	49.4103281633	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	4508701.0	pass	fail	warn	44.0	44.9262223526	SLX-11165.ORDRH11.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH11.HFN3MBBXX.s_7.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	4364683.0	pass	pass	warn	44.0	44.6900907327	SLX-11165.ORDRH11.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH11.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	fail	49.4075652823	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	4363512.0	pass	fail	warn	44.0	44.8719646581	SLX-11165.ORDRH11.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH12.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3523006.0	pass	pass	warn	47.0	62.9185545399	SLX-11165.ORDRH12.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH12.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.409786524	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3522129.0	pass	fail	warn	47.0	63.0663910611	SLX-11165.ORDRH12.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH12.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3587724.0	pass	pass	warn	47.0	62.8395782441	SLX-11165.ORDRH12.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH12.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.4173116436	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3586950.0	pass	fail	warn	47.0	63.0249839117	SLX-11165.ORDRH12.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH12.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3854656.0	pass	pass	warn	46.0	62.8271624956	SLX-11165.ORDRH12.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH12.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.4158883125	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3853751.0	pass	fail	warn	47.0	62.9661463152	SLX-11165.ORDRH12.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH12.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3989533.0	pass	pass	warn	46.0	62.4641490476	SLX-11165.ORDRH12.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH12.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.420494573	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3988734.0	pass	fail	warn	47.0	62.6395521532	SLX-11165.ORDRH12.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH12.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3851881.0	pass	pass	warn	46.0	62.547904932	SLX-11165.ORDRH12.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH12.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.4190925427	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3850980.0	pass	fail	warn	47.0	62.7178188773	SLX-11165.ORDRH12.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
