Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRB10.HFN3MBBXX.s_7.r_1_screen	23519	23.72	94287	95.07	39016	39.33	3	0.0	69	0.07	0	0.0
SLX-11165.ORDRB11.HFMVTBBXX.s_1.r_1_screen	21164	21.08	95492	95.15	38307	38.17	2	0.0	53	0.05	0	0.0
SLX-11165.ORDRB11.HFMVTBBXX.s_2.r_1_screen	20947	21.06	94831	95.34	38025	38.22	1	0.0	55	0.06	0	0.0
SLX-11165.ORDRB11.HFN3MBBXX.s_5.r_1_screen	20914	20.97	95055	95.36	37931	38.04	5	0.01	67	0.07	0	0.0
SLX-11165.ORDRB11.HFN3MBBXX.s_6.r_1_screen	20787	20.69	95883	95.41	38030	37.84	1	0.0	60	0.06	0	0.0
SLX-11165.ORDRB11.HFN3MBBXX.s_7.r_1_screen	21160	21.22	95189	95.45	37869	37.97	0	0.0	64	0.06	0	0.0
SLX-11165.ORDRB12.HFMVTBBXX.s_1.r_1_screen	22764	23.13	93553	95.06	39470	40.12	9	0.01	59	0.06	0	0.0
SLX-11165.ORDRB12.HFMVTBBXX.s_2.r_1_screen	23114	23.16	95027	95.21	40049	40.14	9	0.01	51	0.05	0	0.0
SLX-11165.ORDRB12.HFN3MBBXX.s_5.r_1_screen	22718	22.99	94020	95.1	39366	39.82	4	0.0	70	0.07	0	0.0
SLX-11165.ORDRB12.HFN3MBBXX.s_6.r_1_screen	23382	22.94	96772	94.96	40615	39.86	7	0.01	69	0.07	0	0.0
SLX-11165.ORDRB12.HFN3MBBXX.s_7.r_1_screen	22410	22.69	94077	95.25	39464	39.95	4	0.0	71	0.07	0	0.0
SLX-11165.ORDRC05.HFMVTBBXX.s_1.r_1_screen	30640	30.86	92939	93.59	45025	45.34	4	0.0	70	0.07	0	0.0
SLX-11165.ORDRC05.HFMVTBBXX.s_2.r_1_screen	30709	30.49	94619	93.95	45625	45.31	4	0.0	61	0.06	0	0.0
SLX-11165.ORDRC05.HFN3MBBXX.s_5.r_1_screen	30326	30.77	92356	93.69	44526	45.16	3	0.0	68	0.07	0	0.0
SLX-11165.ORDRC05.HFN3MBBXX.s_6.r_1_screen	30962	30.49	95156	93.74	45665	44.98	6	0.01	75	0.07	0	0.0
SLX-11165.ORDRC05.HFN3MBBXX.s_7.r_1_screen	30124	30.57	92514	93.89	44509	45.17	3	0.0	75	0.08	0	0.0
SLX-11165.ORDRC06.HFMVTBBXX.s_1.r_1_screen	43201	43.0	92018	91.59	55890	55.62	7	0.01	56	0.06	0	0.0
SLX-11165.ORDRC06.HFMVTBBXX.s_2.r_1_screen	44114	43.33	93465	91.79	56937	55.92	5	0.0	54	0.05	0	0.0
SLX-11165.ORDRC06.HFN3MBBXX.s_5.r_1_screen	43484	42.75	93308	91.72	56487	55.53	6	0.01	88	0.09	0	0.0
SLX-11165.ORDRC06.HFN3MBBXX.s_6.r_1_screen	41860	42.58	90294	91.86	54158	55.09	3	0.0	78	0.08	0	0.0
SLX-11165.ORDRC06.HFN3MBBXX.s_7.r_1_screen	43260	42.49	93560	91.91	56070	55.07	5	0.0	73	0.07	0	0.0
SLX-11165.ORDRC07.HFMVTBBXX.s_1.r_1_screen	21336	21.36	92260	92.37	35549	35.6	4	0.0	67	0.07	0	0.0
SLX-11165.ORDRC07.HFMVTBBXX.s_2.r_1_screen	21465	21.2	93476	92.37	35948	35.52	2	0.0	71	0.07	0	0.0
SLX-11165.ORDRC07.HFN3MBBXX.s_5.r_1_screen	21118	21.42	91097	92.43	35385	35.9	1	0.0	78	0.08	0	0.0
SLX-11165.ORDRC07.HFN3MBBXX.s_6.r_1_screen	20971	21.28	91076	92.4	34867	35.38	3	0.0	60	0.06	0	0.0
SLX-11165.ORDRC07.HFN3MBBXX.s_7.r_1_screen	21344	21.56	91586	92.53	35467	35.82	2	0.0	72	0.07	0	0.0
SLX-11165.ORDRC08.HFMVTBBXX.s_1.r_1_screen	28460	28.24	94120	93.39	42076	41.76	27	0.03	77	0.08	0	0.0
SLX-11165.ORDRC08.HFMVTBBXX.s_2.r_1_screen	27704	28.13	91994	93.4	41084	41.72	15	0.02	47	0.05	0	0.0
SLX-11165.ORDRC08.HFN3MBBXX.s_5.r_1_screen	28341	28.23	93742	93.42	41714	41.57	19	0.02	68	0.07	0	0.0
